Date,Open,High,Low,Close,Adj Close,Volume
2021-03-28,1.159569,1.269210,1.148920,1.236743,1.236743,368338603
2021-03-29,1.236537,1.449871,1.219370,1.401068,1.401068,565200987
2021-03-30,1.403297,1.426902,1.304666,1.326095,1.326095,418633321
2021-03-31,1.326394,1.372452,1.255340,1.369683,1.369683,369677700
2021-04-01,1.369381,1.398843,1.303147,1.326109,1.326109,312332954
2021-04-02,1.325847,1.369564,1.308398,1.361270,1.361270,256028256
2021-04-03,1.361268,1.470251,1.269547,1.269547,1.269547,457515567
2021-04-04,1.268937,1.355453,1.251831,1.314932,1.314932,259162075
2021-04-05,1.315349,1.429230,1.283010,1.405011,1.405011,363893378
2021-04-06,1.403110,1.488315,1.361711,1.400850,1.400850,441199749
2021-04-07,1.399965,1.483004,1.255479,1.303870,1.303870,545441816
2021-04-08,1.305077,1.379231,1.297074,1.349129,1.349129,252938907
2021-04-09,1.350066,1.427912,1.322396,1.394245,1.394245,281543642
2021-04-10,1.394895,1.475837,1.355747,1.393407,1.393407,335532482
2021-04-11,1.390870,1.546441,1.366224,1.520488,1.520488,377203338
2021-04-12,1.523566,1.597852,1.439350,1.482379,1.482379,440923375
2021-04-13,1.481397,1.549056,1.423445,1.515236,1.515236,395401453
2021-04-14,1.514547,1.526999,1.387622,1.466120,1.466120,377957613
2021-04-15,1.464726,1.624892,1.448694,1.574378,1.574378,421373869
2021-04-16,1.571412,1.598867,1.415417,1.509819,1.509819,405207049
2021-04-17,1.508140,1.815738,1.508140,1.697854,1.697854,941888384
2021-04-18,1.709903,1.737407,1.263299,1.454038,1.454038,865676730
2021-04-19,1.456696,1.509761,1.286022,1.293401,1.293401,455800383
2021-04-20,1.290804,1.348341,1.165706,1.291139,1.291139,505907556
2021-04-21,1.292050,1.344401,1.192852,1.212808,1.212808,469605920
2021-04-22,1.209635,1.323075,1.144749,1.163850,1.163850,440794544
2021-04-23,1.162516,1.193194,0.926800,1.164039,1.164039,614781222
2021-04-24,1.166643,1.169843,1.078954,1.088167,1.088167,196535691
2021-04-25,1.088276,1.191596,1.051611,1.094039,1.094039,236814426
